filename,genre,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
Copy of reggae10.mp3,reggae,0.4150104,0.09394444,0.10174708,0.0018180974,2595.731547,1205688.673,3172.648654,761820.4733,5696.09889,7715217.162,0.05413327055,0.001653928493,0.08001633,0.0012936363,-0.02438983349,0.01227406683,87.59269068,-208.56526,8161.918,147.13889,1371.2798,-29.004662,557.4643,37.58858,454.1428,-5.5662384,297.9884,30.755358,269.8213,-13.845475,208.69449,18.800877,120.91355,-0.92255867,156.76666,8.632448,120.33966,-2.749392,118.526184,-0.045744717,82.99765,-2.7276025,74.455154,-2.7630517,50.324707,12.441229,70.717575,-1.7694485,60.239323,-2.5092976,71.56887,-9.692801,67.05463,-0.4939286,65.865654,1.021261,86.164085
Copy of reggae3.mp3,reggae,0.49495986,0.11140478,0.20247641,0.017946262,2906.804011,3127415.909,3091.196409,1475607.671,5963.088942,12522837.87,0.06775072411,0.004714342644,0.15947612,0.013505611,0.01783705896,0.01033477838,147.65625,-180.30574,14983.0205,107.34942,2884.1462,-23.35478,704.5632,45.85921,620.6018,6.357343,466.35724,29.906942,491.71594,-6.5145144,227.31068,10.566964,218.21974,-1.1815544,185.10008,13.764863,166.65344,-1.8731742,119.26033,2.9920752,126.469635,0.67029685,78.50354,0.21910782,81.93023,0.71079403,72.09474,-1.3314197,65.31651,4.990619,72.280914,-3.8099287,57.259335,3.914879,59.463394,-0.9251184,55.01856
Copy of reggae4.mp3,reggae,0.51615816,0.093252845,0.18235008,0.00893904,3488.216479,3669833.065,3440.944599,901416.8117,7082.723838,12910035.06,0.08311438782,0.005897174946,0.15208387,0.0066608465,-0.003898240893,0.0142744043,132.5120192,-183.57068,12923.024,94.878105,2033.4424,-12.441355,830.395,71.120026,665.0729,-3.68997,734.5357,28.075542,328.8543,-7.340743,351.14136,19.506681,165.69225,2.0520616,192.05061,7.440104,92.53444,1.6779372,88.92069,-0.20771183,80.37035,0.93664265,59.472286,-2.4850268,61.167255,1.1471308,50.37791,-3.9241729,54.070717,0.6284477,61.27045,-9.981502,118.50477,3.1714604,79.70926,-2.336706,76.90602
Copy of reggae11.mp3,reggae,0.35365,0.1144421,0.02475734,0.000852284,1587.62613,2292531.352,2138.411884,2293973.133,3365.171318,12069996.69,0.02653385316,0.001448759994,0.019825231,0.0005830638,0.0349311686,0.01798277886,161.4990234,-475.59583,19350.104,80.616005,3041.3413,12.117324,931.0139,30.457636,634.2605,8.42974,383.66843,14.304001,205.16858,5.64662,144.1892,10.165183,114.60248,-4.758617,122.25746,-3.0739455,60.864635,-1.6441516,44.176968,-4.057678,76.72369,-0.9337492,47.3964,0.42976066,37.47273,2.1612337,37.764935,-0.7140993,48.987007,-3.4140148,51.915386,-4.816759,39.435436,-4.92114,48.418846,-5.994791,63.77859
Copy of reggae14.mp3,reggae,0.40561956,0.096700385,0.10593459,0.005238328,1310.07796,269364.1606,1386.018986,128418.4343,2782.174843,1227391.889,0.03248147403,0.0004749686303,0.091803014,0.0051696002,-0.008555156072,0.02848174418,83.35433468,-260.249,6402.4297,181.13293,1280.7031,-29.881804,1250.4104,12.505029,183.73312,33.607662,84.75294,-11.537153,402.06497,3.6242056,68.57591,10.534653,48.291138,-8.02515,49.42018,1.4570341,49.009243,11.03854,47.09068,2.123715,58.485275,-3.0880198,32.973454,-2.5592356,37.364162,-4.349236,33.952103,-7.5173407,30.7379,-8.701081,32.06932,-7.4552484,27.621227,-8.607394,32.6259,-11.408671,34.45409
Copy of reggae13.mp3,reggae,0.3517135,0.09594388,0.0939525,0.002033989,1460.984143,67177.15712,1056.120131,27949.08019,2623.134138,206750.2504,0.06238114206,0.0004677777955,0.075437896,0.0015794294,0.04068836387,0.01923476782,135.9991776,-289.85583,3048.4443,227.91068,1323.0713,-52.626,594.93286,-44.768024,317.24738,42.38639,280.40842,2.876463,110.3842,-23.269163,118.205956,14.992895,153.02641,2.451332,74.152756,-24.557978,77.0205,2.2293897,78.83781,9.668348,44.049274,-18.548532,88.107574,-11.66073,77.674866,3.8676107,69.74101,-14.134119,73.787575,-13.687536,46.939453,11.529287,71.779625,4.875234,46.598354,-15.051934,77.18115
Copy of reggae12.mp3,reggae,0.4759616,0.103449866,0.16302814,0.011889505,1045.375609,201867.8708,1528.361978,80994.16264,2126.437142,1056242.894,0.01772154817,0.0004538351222,0.15224561,0.011209377,0.02090970128,0.03242804321,109.9567819,-261.64838,7575.3374,169.9747,1230.301,-14.244083,1640.6006,31.771997,152.65741,28.374865,282.7051,1.9587477,89.39699,14.26345,33.230675,3.7945964,54.189213,7.4472737,37.059265,3.849557,40.380444,-6.5416536,76.02575,7.5445857,25.16691,-1.4873074,39.419147,-6.5237536,65.82244,2.859474,34.23755,-8.875938,63.542423,-4.8318434,43.67172,3.032441,28.688627,-3.5413625,37.04041,-2.8938468,38.22032
Copy of rock5.mp3,rock,0.39303187,0.0779006,0.23188432,0.0041389237,2236.474185,226183.458,2542.953991,239602.5016,4344.032066,906928.4445,0.06015137475,0.0003866065861,0.17368075,0.0025203794,0.001125374843,0.01118371859,139.6748311,-88.439186,3788.3943,161.96898,742.1447,-53.27352,153.68898,47.696335,117.165565,5.841722,95.00986,20.42727,125.5621,-5.665628,58.185474,13.394152,66.41833,-9.333411,41.825172,5.568157,48.935577,3.190308,39.40112,1.0885786,35.87164,1.9726689,38.681488,-1.5759714,31.081728,4.786947,33.623737,-5.0983567,33.97609,-3.2818918,36.521145,-2.1937885,36.881516,7.8483176,29.767366,-7.361221,35.63447
Copy of rock10.mp3,rock,0.5587919,0.07512601,0.2833237,0.007012087,2351.453737,477700.3545,2793.062953,426491.1968,4918.686924,2472815.535,0.03838260993,0.0003268574867,0.22862482,0.0034652122,0.01324916645,0.00734079659,120.1853198,-93.13918,2028.791,151.2989,522.63025,-51.782276,288.57574,47.389996,179.17184,14.812177,337.03656,28.106697,196.56595,-1.358957,131.38,22.21331,72.99683,-1.7967474,57.508404,8.731243,50.262222,5.277707,46.868187,5.362881,41.598957,4.2214913,37.73522,3.229239,33.156322,3.8738496,34.205086,-3.328058,29.146086,-0.24065883,25.985977,-5.0842347,23.94121,1.5793687,31.062757,-4.628625,26.447685
Copy of rock9.mp3,rock,0.5567553,0.06568726,0.17682515,0.0028703588,2811.073954,1194385.67,3657.923253,328705.8867,6652.343108,5209278.276,0.04342679712,0.0019002114,0.1436175,0.0022287779,0.04259613296,0.01305510798,132.5120192,-151.14372,4569.057,131.00497,710.6237,-8.3594055,255.75906,66.99256,174.02977,-9.299604,106.82856,31.162842,79.87553,-7.88211,69.782394,24.476675,70.69889,-13.271176,42.2952,12.705952,56.643673,-2.7704563,57.28058,2.937847,39.66122,0.9033513,36.32462,-1.6483917,37.677044,2.0846584,39.688408,-8.05591,25.09498,0.4852672,26.123058,-8.655873,22.694515,4.3522153,31.31405,-6.6690736,21.086285
Copy of rock2.mp3,rock,0.41644856,0.09552377,0.19572014,0.0118891755,2316.116549,2755538.977,2924.098317,2188872.771,4924.207919,15240409.76,0.04678560617,0.002609622696,0.15578967,0.006398838,0.04744668565,0.02381283717,152.027027,-197.60986,11241.091,156.30856,3505.2493,4.5631533,774.2588,24.486073,528.63257,10.737606,369.0636,13.862662,174.63054,-1.1405294,110.768906,10.039879,79.92718,1.1207573,109.19362,5.836403,113.09707,-2.785782,86.45101,3.2022932,75.56984,-2.4921815,56.162815,-3.540003,81.393654,-5.504338,62.967472,-0.03521796,67.08415,-1.8757942,65.23843,-2.9064848,80.74977,-2.262865,73.421616,3.0713005,66.82609
Copy of rock1.mp3,rock,0.4999912,0.08678843,0.18456475,0.007297337,2497.864054,1445065.728,1970.954409,1434286.573,4536.03526,6755902.328,0.0777979748,0.00149547068,0.13617419,0.0048319073,0.01103704254,0.01022096719,96.98275862,-161.4662,11157.708,158.90129,2854.732,-75.75719,1665.7084,32.219593,524.3589,46.71562,941.7062,-2.3341968,397.75363,-6.853029,74.054474,4.9645267,211.19891,-10.087237,109.804565,7.4071493,105.51707,5.787499,58.21905,-2.6656897,48.21103,1.068241,37.85287,5.86964,42.404354,-2.4310007,56.340427,-3.298959,38.476765,-0.08548489,42.75786,-4.637188,37.677067,0.3474553,24.69074,-2.0942223,27.809078
Copy of rock4.mp3,rock,0.47471714,0.07059002,0.19878516,0.0023831304,1918.568783,284927.5773,2437.432115,367947.033,4014.967389,1373235.604,0.04039317978,0.0001435068476,0.15889667,0.0018766472,0.03431884516,0.01675738418,151.9990809,-131.19237,2412.649,180.53891,739.6957,-47.581867,145.58147,39.56754,145.82127,5.7582216,258.64157,15.675181,227.52112,1.0732675,122.13685,20.629,94.73687,-1.5180528,75.693016,13.280384,61.814205,6.017997,53.998024,6.2626657,39.760338,4.0283256,44.590958,0.27192882,41.693474,2.127541,47.994884,-2.225006,48.725826,0.9432798,48.74667,-4.745588,36.90059,2.9119089,36.12106,-2.395122,39.29702
Copy of rock7.mp3,rock,0.6222016,0.074512236,0.15880662,0.005659693,2527.117745,2124996.396,2721.788378,1145792.829,5333.934413,7009687.572,0.05640649943,0.004012124541,0.11631073,0.00332897,0.0118814822,0.006319027198,139.6748311,-169.64598,14040.632,139.4398,3552.8298,-43.35495,455.72113,43.10492,537.5886,0.16452022,510.4618,25.257145,344.40714,9.309655,202.31389,14.394861,121.59665,-0.16813935,73.79223,15.10142,80.69944,4.078328,66.78477,8.671529,54.86518,3.8911047,36.838596,3.584113,31.372002,3.0949457,24.57712,-1.5832034,24.706518,-0.6493658,30.39804,-5.163755,25.337202,2.7229154,22.634438,-4.419122,20.323792
Copy of rock3.mp3,rock,0.61422527,0.064507425,0.2053423,0.00831233,3160.164308,1933527.164,3275.533126,668063.2329,6664.118036,5434184.449,0.07623158741,0.005399426196,0.14601955,0.0039165528,0.04067744008,0.007552920594,126.0480183,-103.96027,17042.242,123.54421,2030.6478,-43.347595,237.62611,46.614124,293.92932,-7.979018,103.84464,41.284508,194.08965,-12.55178,59.869427,21.807247,68.676,-5.135503,39.844074,8.808161,32.167988,-0.8685861,38.184418,0.8774023,29.07724,0.16010362,23.981905,-1.4413867,23.526213,3.4171207,22.493887,-5.6778827,22.25159,3.931773,22.594294,-7.4464946,26.968512,5.84809,21.790321,-3.7909396,21.982718
Copy of rock8.mp3,rock,0.32276183,0.095767826,0.06941072,0.00061769463,2201.728846,914948.2385,2625.514219,576545.2101,4714.79649,3966165.163,0.04365846616,0.001010292107,0.05930724,0.00041183105,-0.03231114902,0.02749130239,151.9990809,-257.60696,5280.623,153.97548,1242.4742,-31.880579,473.53134,55.407295,413.39337,9.222718,333.5491,16.871513,228.51677,0.70244455,98.513084,8.436339,78.24638,-2.9080846,65.342926,1.1935904,53.886242,-0.7290397,53.615326,-2.300573,48.179234,-2.22886,43.383423,-3.3633854,38.68613,-3.829901,32.438343,-9.008932,38.895927,-3.7545276,49.021618,-5.6734805,62.12621,0.8605529,74.872,-2.02005,49.90697
Copy of rock6.mp3,rock,0.48472276,0.07914661,0.20887832,0.009597185,1753.410806,682279.595,2198.832587,585588.6337,3650.794591,2932269.312,0.03944137148,0.0006512742351,0.16275476,0.00539218,0.0455459461,0.01434684911,90.66611842,-153.00641,9089.346,164.85521,1753.7299,-28.87332,718.91833,41.85735,451.61136,16.499445,386.97452,13.7614765,198.11902,-1.0535966,124.827995,6.5903773,85.330666,-1.2108212,68.23066,-1.462219,63.817482,1.4002695,79.1045,-0.3276157,71.98127,0.9981701,38.53625,0.2513879,44.51017,1.3201058,42.94672,-1.8087814,35.697216,-3.745161,28.50524,-6.5899177,37.04279,-2.0944755,33.31802,-5.0957055,31.21785
